Date,Star Tech Units Sold,Star Tech Dollar Sales,Other Units Sold,Other Dollar Sales,Total Units Sold,Total Dollar Sales,Star Tech Units %,Star Tech Dollar %
2023-05-15,120,"$24,000",450,"$90,000",570,"$114,000",21.05%,21.05%
2023-05-16,110,"$22,000",480,"$96,000",590,"$118,000",18.64%,18.64%
2023-05-17,130,"$26,000",500,"$100,000",630,"$126,000",20.63%,20.63%
2023-05-18,115,"$23,000",460,"$92,000",575,"$115,000",20.00%,20.00%
2023-05-19,140,"$28,000",520,"$104,000",660,"$132,000",21.21%,21.21%
2023-05-20,125,"$25,000",490,"$98,000",615,"$123,000",20.33%,20.33%
2023-05-21,135,"$27,000",510,"$102,000",645,"$129,000",20.93%,20.93%
2023-05-22,105,"$21,000",470,"$94,000",575,"$115,000",18.26%,18.26%
2023-05-23,150,"$30,000",540,"$108,000",690,"$138,000",21.74%,21.74%
2023-05-24,115,"$23,000",480,"$96,000",595,"$119,000",19.33%,19.33% 
2023-05-25,160,"$32,000",550,"$110,000",710,"$142,000",22.54%,22.54%
2023-05-26,145,"$29,000",530,"$106,000",675,"$135,000",21.48%,21.48%
2023-05-27,170,"$34,000",570,"$114,000",740,"$148,000",22.97%,22.97%
2023-05-28,130,"$26,000",490,"$98,000",620,"$124,000",20.97%,20.97%
2023-05-29,180,"$36,000",600,"$120,000",780,"$156,000",23.08%,23.08%
2023-05-30,165,"$33,000",550,"$110,000",715,"$143,000",23.08%,23.08%
2023-05-31,140,"$28,000",520,"$104,000",660,"$132,000",21.21%,21.21%
2023-06-01,155,"$31,000",560,"$112,000",715,"$143,000",21.68%,21.68%
2023-06-02,175,"$35,000",590,"$118,000",765,"$153,000",22.88%,22.88%
2023-06-03,160,"$32,000",570,"$114,000",730,"$146,000",21.92%,21.92%
2023-06-04,145,"$29,000",540,"$108,000",685,"$137,000",21.17%,21.17%
2023-06-05,130,"$26,000",500,"$100,000",630,"$126,000",20.63%,20.63%
