Region,Product,Revenue,Units Sold,Profit Margin
North,Product A,"$62,500",550,30%
South,Product B,"$45,000",400,22%
East,Product C,"$70,000",650,28%
West,Product D,"$80,000",700,25%
North,Product E,"$55,000",450,20%
South,Product F,"$42,000",350,18%
East,Product G,"$65,000",600,26%
West,Product H,"$75,000",550,24%
North,Product I,"$57,500",500,23%
South,Product J,"$40,000",300,15%
East,Product K,"$75,000",650,21%
West,Product L,"$85,000",750,27%
North,Product M,"$60,000",550,19%
South,Product N,"$50,000",400,24%
East,Product O,"$80,000",700,29%
West,Product P,"$90,000",800,17%
North,Product Q,"$65,000",600,28%
South,Product R,"$55,000",500,16%
East,Product S,"$85,000",750,25%
West,Product T,"$95,000",850,22%
North,Product U,"$70,000",650,20%
South,Product V,"$60,000",550,26%
East,Product W,"$90,000",800,17%
West,Product X,"$100,000",900,30%
North,Product Y,"$75,000",700,18%
South,Product Z,"$65,000",600,27%
East,Product AA,"$95,000",850,23%
West,Product BB,"$105,000",950,21%
North,Product CC,"$80,000",750,16%
South,Product DD,"$70,000",650,29%
East,Product EE,"$100,000",900,19%
West,Product FF,"$110,000",1000,24%
North,Product GG,"$85,000",800,20%
South,Product HH,"$75,000",700,25%
East,Product II,"$105,000",950,22%
West,Product JJ,"$115,000",1050,17%
North,Product KK,"$90,000",850,26%
South,Product LL,"$80,000",750,20%
East,Product MM,"$110,000",1000,18%
West,Product NN,"$120,000",1100,27%
