Product,Current Stock,Reorder Level,Reorder Quantity,Last in Stock Date
Product A,250,50,200,2023-05-15
Product B,134,75,100,2023-05-14
Product C,78,30,50,2023-05-13
Product D,567,100,300,2023-05-12
Product E,98,20,60,2023-05-11
Product F,220,45,150,2023-05-10
Product G,400,80,250,2023-05-09
Product H,123,55,90,2023-05-08
Product I,87,35,75,2023-05-07
Product J,210,60,170,2023-05-06
Product K,345,120,220,2023-05-05
Product L,56,25,80,2023-05-04
Product M,198,70,140,2023-05-03
Product N,270,90,200,2023-05-02
Product O,312,110,250,2023-05-01
Product P,147,60,100,2023-04-30
Product Q,89,40,70,2023-04-29
Product R,354,130,210,2023-04-28
Product S,120,50,90,2023-04-27
Product T,403,95,220,2023-04-26
Product U,258,75,180,2023-04-25
Product V,68,30,50,2023-04-24
Product W,320,100,200,2023-04-23
Product X,153,65,110,2023-04-22
Product Y,290,85,190,2023-04-21
Product Z,410,120,230,2023-04-20
Product AA,75,40,70,2023-04-19
Product AB,205,80,160,2023-04-18
Product AC,333,105,240,2023-04-17
Product AD,162,60,120,2023-04-16
Product AE,56,20,50,2023-04-15
Product AF,298,90,180,2023-04-14
Product AG,142,50,110,2023-04-13
Product AH,415,130,230,2023-04-12
Product AI,105,45,90,2023-04-11
Product AJ,275,80,170,2023-04-10
Product AK,324,100,210,2023-04-09
Product AL,184,70,140,2023-04-08
Product AM,62,25,60,2023-04-07
Product AN,376,120,220,2023-04-06
Product AO,212,85,160,2023-04-05
Product AP,330,110,240,2023-04-04
Product AQ,193,65,130,2023-04-03
Product AR,86,35,75,2023-04-02
Product AS,401,100,220,2023-04-01
Product AT,147,55,100,2023-03-31
Product AU,270,80,180,2023-03-30
Product AV,318,110,210,2023-03-29
Product AW,169,70,140,2023-03-28
Product AX,55,30,60,2023-03-27
Product AY,384,120,230,2023-03-26
Product AZ,213,85,170,2023-03-25
Product BA,326,110,220,2023-03-24
Product BB,174,65,130,2023-03-23
Product BC,58,25,50,2023-03-22
Product BD,390,120,240,2023-03-21
Product BE,231,90,180,2023-03-20
Product BF,308,100,210,2023-03-19
Product BG,194,65,130,2023-03-18
Product BH,67,30,60,2023-03-17
Product BI,378,120,220,2023-03-16
Product BJ,222,85,160,2023-03-15
Product BK,340,110,240,2023-03-14
Product BL,172,65,130,2023-03-13
